FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
151001;0000;11,8896;;;
151002;0000;10,5168;;;
151003;0000;11,8998;;;
151004;0000;8,89745;;;
151005;0000;12,9457;;;
151006;0000;10,1625;;;
151007;0000;13,4784;;;
151008;0000;10,9339;;;
151009;0000;13,165;;;
151010;0000;8,02336;;;
151011;0000;10,2491;;;
151012;0000;16,8047;;;
151013;0000;17,4877;;;
151014;0000;14,9025;;;
151015;0000;12,8648;;;
151016;0000;11,7687;;;
151017;0000;10,6411;;;
151018;0000;12,1243;;;
151019;0000;11,2247;;;
151020;0000;11,1014;;;
151021;0000;9,48569;;;
151022;0000;13,7598;;;
151023;0000;12,24;;;
151024;0000;12,8482;;;
151025;0000;7,75182;;;
151026;0000;10,3271;;;
151027;0000;9,51111;;;
151028;0000;8,22261;;;
151029;0000;8,57014;;;
151030;0000;14,0688;;;
151031;0000;10,7496;;;
151101;0000;10,5572;;;
151102;0000;10,8419;;;
151103;0000;10,3149;;;
151104;0000;13,2605;;;
151105;0000;11,6785;;;
151106;0000;11,5072;;;
151107;0000;8,79828;;;
151108;0000;10,0737;;;
151109;0000;10,7279;;;
151110;0000;10,4461;;;
151111;0000;7,40495;;;
151112;0000;10,1461;;;
151113;0000;8,10315;;;
151114;0000;8,95103;;;
151115;0000;10,3109;;;
151116;0000;9,83472;;;
151117;0000;9,88521;;;
151118;0000;8,65323;;;
151119;0000;7,83385;;;
151120;0000;5,14345;;;
151121;0000;3,82158;;;
151122;0000;2,74204;;;
151123;0000;4,66791;;;
151124;0000;5,28339;;;
151125;0000;5,35483;;;
151126;0000;2,30883;;;
151127;0000;3,0437;;;
151128;0000;6,72711;;;
151129;0000;8,2339;;;
151130;0000;8,24361;;;
151201;0000;6,43491;;;
151202;0000;4,84679;;;
151203;0000;5,9827;;;
151204;0000;4,3697;;;
151205;0000;4,42116;;;
151206;0000;2,96975;;;
151207;0000;2,87246;;;
151208;0000;2,25146;;;
151209;0000;4,27349;;;
151210;0000;4,60908;;;
151211;0000;6,11829;;;
151212;0000;5,46424;;;
151213;0000;2,11025;;;
151214;0000;2,88833;;;
151215;0000;3,35387;;;
151216;0000;3,64029;;;
151217;0000;2,74304;;;
151218;0000;2,43071;;;
151219;0000;4,75928;;;
151220;0000;5,12936;;;
151221;0000;5,31578;;;
151222;0000;5,74999;;;
151223;0000;3,53636;;;
151224;0000;5,84728;;;
151225;0000;4,82079;;;
151226;0000;5,54241;;;
151227;0000;5,41266;;;
151228;0000;5,32707;;;
151229;0000;2,63231;;;
151230;0000;2,83737;;;
151231;0000;4,67412;;;
160101;0000;3,87166;;;
160102;0000;2,97558;;;
160103;0000;4,62466;;;
160104;0000;6,52207;;;
160105;0000;6,26595;;;
160106;0000;4,50037;;;
160107;0000;4,77541;;;
160108;0000;3,15383;;;
160109;0000;2,84612;;;
160110;0000;1,542;;;
160111;0000;2,94258;;;
160112;0000;3,02295;;;
160113;0000;4,49329;;;
160114;0000;3,18128;;;
160115;0000;2,93255;;;
160116;0000;4,10812;;;
160117;0000;5,51091;;;
160118;0000;8,69107;;;
160119;0000;5,82045;;;
160120;0000;4,40916;;;
160121;0000;5,24212;;;
160122;0000;3,5247;;;
160123;0000;4,36707;;;
160124;0000;2,37837;;;
160125;0000;3,94462;;;
160126;0000;;;;
160127;0000;4,58941;;;
160128;0000;4,93433;;;
160129;0000;;;2,57166;
160130;0000;;;1;
160131;0000;;;1,07896;
160201;0000;;;3,28883;
160202;0000;6,59303;;;
160203;0000;5,31099;;;
160204;0000;6,44762;;;
160205;0000;5,94891;;;
160206;0000;6,39891;;;
160207;0000;5,04565;;;
160208;0000;6,22303;;;
160209;0000;7,66168;;;
160210;0000;7,33207;;;
160211;0000;6,73078;;;
160212;0000;6,09078;;;
160213;0000;7,59328;;;
160214;0000;6,96866;;;
160215;0000;7,26415;;;
160216;0000;9,21344;;;
160217;0000;9,01169;;;
160218;0000;6,22766;;;
160219;0000;9,10861;;;
160220;0000;12,6017;;;
160221;0000;15,8325;;;
160222;0000;20,5545;;;
160223;0000;14,3327;;;
160224;0000;11,7116;;;
160225;0000;10,6966;;;
160226;0000;10,1842;;;
160227;0000;10,2839;;;
160228;0000;8,33011;;;
160229;0000;9,71048;;;
160301;0000;10,5628;;;
160302;0000;8,53424;;;
160303;0000;9,6524;;;
160304;0000;9,11319;;;
160305;0000;9,54828;;;
160306;0000;10,3958;;;
160307;0000;12,2614;;;
160308;0000;8,02531;;;
160309;0000;8,3277;;;
160310;0000;9,35452;;;
