Dia - Mes,Temperatura media,Fecha Momento minima,Temperatura minima,Fecha Momento maxima,Temperatura maxima
190224,20.0,120224,14.4,170224,27.0
190225,20.0,950225,14.4,170225,27.0
190226,20.0,080226,14.5,170226,27.6
190227,19.9,080227,14.1,170227,27.1
190228,19.8,950228,13.8,170228,25.8
190229,19.2,960229,14.9,160229,24.7
190301,19.6,950301,14.4,980301,25.2
190302,19.5,000302,14.4,970302,26.2
190303,19.6,000303,13.5,.,30.6
190304,19.7,000304,13.6,970304,27.9
190305,19.7,140305,14.0,970305,26.2
190306,19.6,900306,14.4,050306,25.4
190307,19.6,090307,14.7,010307,25.9
190308,19.4,070308,14.6,080308,24.8
190309,19.4,100309,14.7,000309,25.6
190310,19.4,070310,14.5,140310,24.6
190311,19.3,070311,15.0,920311,25.4
190312,19.5,080312,14.4,150312,25.6
190313,19.4,080313,13.9,990313,25.8
190314,19.2,080314,14.0,020314,25.0
190315,19.1,040315,13.5,980315,27.3
190316,19.2,050316,13.7,980316,25.4
190317,19.1,040317,13.4,920317,25.1
190318,19.1,900318,14.0,090318,24.8
190319,19.1,130319,13.5,920319,24.5
190320,18.9,080320,13.9,920320,24.9
190321,19.0,130321,13.9,150321,26.0
190322,18.7,180322,13.3,150322,24.1
190323,18.7,910323,13.0,150323,26.5
190324,18.8,000324,14.0,150324,26.6
190325,18.7,970325,13.6,920325,24.2
190326,18.6,060326,13.6,920326,28.3
190327,18.8,050327,13.2,920327,26.0
190328,18.5,060328,13.1,920328,24.4
190329,18.5,060329,13.4,000329,24.2
190330,18.4,070330,13.2,140330,26.1
190331,18.3,030331,13.0,100331,25.4
190401,18.5,130401,12.9,920401,23.9
190402,18.4,030402,12.9,980402,23.4
190403,18.3,030403,12.2,980403,23.6
190404,17.9,130404,11.9,980404,23.8
190405,17.8,030405,11.8,160405,23.6
190406,17.8,000406,12.3,920406,24.2
190407,17.7,000407,12.3,980407,24.8
190408,17.6,030408,10.0,980408,23.7
190409,17.7,000409,11.1,120409,27.7
190410,17.7,060410,11.5,120410,25.7
190411,17.5,060411,11.5,900411,25.2
190412,17.4,080412,10.9,000412,26.1
190413,17.6,050413,11.0,000413,28.3
190414,17.5,060414,11.4,000414,24.4
190415,17.3,130415,11.3,040415,22.6
190416,17.2,130416,11.1,150416,22.3
190417,17.1,130417,11.6,170417,22.6
190418,17.2,030418,11.5,930418,23.4
