FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
151105;0000;41,3574;;;
151106;0000;37,6587;;;
151107;0000;28,0679;;;
151108;0000;25,8233;;;
151109;0000;32,14;;;
151110;0000;27,7912;;;
151111;0000;38,2374;;;
151112;0000;33,562;;;
151113;0000;31,222;;;
151114;0000;28,3554;;;
151115;0000;24,4316;;;
151116;0000;31,5316;;;
151117;0000;29,6636;;;
151118;0000;31,1745;;;
151119;0000;42,3454;;;
151120;0000;43,3553;;;
151121;0000;33,3141;;;
151122;0000;29,5958;;;
151123;0000;37,7971;;;
151124;0000;24,3009;;;
151125;0000;30,3462;;;
151126;0000;24,3583;;;
151127;0000;29,6704;;;
151128;0000;34,3599;;;
151129;0000;36,0974;;;
151130;0000;40,3829;;;
151201;0000;33,2903;;;
151202;0000;30,4115;;;
151203;0000;33,5366;;;
151204;0000;32,0145;;;
151205;0000;24,0937;;;
151206;0000;18,8683;;;
151207;0000;25,4254;;;
151208;0000;20,4787;;;
151209;0000;30,1212;;;
151210;0000;32,7483;;;
151211;0000;39,0679;;;
151212;0000;28,932;;;
151213;0000;26,4404;;;
151214;0000;30,055;;;
151215;0000;28,987;;;
151216;0000;30,4912;;;
151217;0000;28,632;;;
151218;0000;27,5066;;;
151219;0000;28,7641;;;
151220;0000;26,9595;;;
151221;0000;30,1758;;;
151222;0000;31,2308;;;
151223;0000;31,2122;;;
151224;0000;29,8154;;;
151225;0000;25,6341;;;
151226;0000;25,66;;;
151227;0000;24,6875;;;
151228;0000;29,2954;;;
151229;0000;25,0295;;;
151230;0000;23,5045;;;
151231;0000;22,7745;;;
160101;0000;17,9846;;;
160102;0000;18,8971;;;
160103;0000;22,7887;;;
160104;0000;31,387;;;
160105;0000;27,6287;;;
160106;0000;25,3141;;;
160107;0000;24,8329;;;
160108;0000;22,2966;;;
160109;0000;23,5629;;;
160110;0000;20,9108;;;
160111;0000;23,8179;;;
160112;0000;28,5304;;;
160113;0000;25,9045;;;
160114;0000;21,0375;;;
160115;0000;25,94;;;
160116;0000;23,3892;;;
160117;0000;24,0708;;;
160118;0000;35,8154;;;
160119;0000;26,6216;;;
160120;0000;26,6866;;;
160121;0000;25,6179;;;
160122;0000;28,3408;;;
160123;0000;25,3412;;;
160124;0000;22,8466;;;
160125;0000;36,2833;;;
160126;0000;31,8949;;;
160127;0000;32,6456;;;
160128;0000;30,9412;;;
160129;0000;31,093;;;
160130;0000;29,9645;;;
160131;0000;24,9533;;;
160201;0000;31,403;;;
160202;0000;33,4882;;;
160203;0000;26,5841;;;
